code,numeric_code,our_name,yahoo_name,similarity,category,normalized_ours,normalized_yahoo
PCCS,6068,"PCCS Group Berhad","PCCS",50,MISMATCH,"PCCS BHD","PCCS"
PCHEM,5183,"PETRONAS Chemicals Group Berhad","PCHEM",23,MISMATCH,"PETRONAS CHEMICALS BHD","PCHEM"
PECCA,5271,"Pecca Group Berhad","PECCA",56,MISMATCH,"PECCA BHD","PECCA"
PEKAT,0219,"Pekat Group Berhad","RL",0,MISMATCH,"PEKAT BHD","RL"
PENTA,7160,"Pentamaster Corporation Berhad","PENTA",25,MISMATCH,"PENTAMASTER CORP BHD","PENTA"
PERDANA,7108,"Perdana Petroleum Berhad","PERDANA",33,MISMATCH,"PERDANA PETROLEUM BHD","PERDANA"
PESTEC,5219,"Pestec International Berhad","PESTEC",40,MISMATCH,"PESTEC INTL BHD","PESTEC"
PETDAG,5681,"PETRONAS Dagangan Berhad","PETDAG",29,MISMATCH,"PETRONAS DAGANGAN BHD","PETDAG"
PETGAS,6033,"PETRONAS Gas Berhad","PETGAS",38,MISMATCH,"PETRONAS GAS BHD","PETGAS"
PETRONM,3042,"Petron Malaysia Refining & Marketing Bhd","PETRONM",18,MISMATCH,"PETRON MALAYSIA REFINING MARKETING BHD","PETRONM"
PGF,8117,"PGF Capital Berhad","PGF",20,MISMATCH,"PGF CAPITAL BHD","PGF"
PGLOBAL,5331,"Pantech Global Berhad","PGLOBAL",39,MISMATCH,"PANTECH GLOBAL BHD","PGLOBAL"
PGLOBE,0281,"Paragon Globe Berhad","DAY3",6,MISMATCH,"PARAGON GLOBE BHD","DAY3"
PHARMA,7081,"Pharmaniaga Berhad","PHARMA",40,MISMATCH,"PHARMANIAGA BHD","PHARMA"
PIE,7095,"P.I.E. Industrial Berhad","PIE",15,MISMATCH,"P I E INDUSTRIAL BHD","PIE"
PINEAPP,0006,"Pineapple Resources Berhad","PINEAPP",30,MISMATCH,"PINEAPPLE RESOURCES BHD","PINEAPP"
PJBUMI,0366,"PJ Bumi Berhad","ICENTS",0,MISMATCH,"PJ BUMI BHD","ICENTS"
PLABS,0171,"PNE PCB Berhad","PLABS",18,MISMATCH,"PNE PCB BHD","PLABS"
PLENITU,5075,"Plenitude Berhad","PLENITU",54,MISMATCH,"PLENITUDE BHD","PLENITU"
PLINTAS,5320,"Prolintas Infra Business Trust","PLINTAS",23,MISMATCH,"PROLINTAS INFRA BUSINESS TRUST","PLINTAS"
PMBTECH,7172,"PMB Technology Berhad","PMBTECH",39,MISMATCH,"PMB TECHNOLOGY BHD","PMBTECH"
PMCK,0363,"PMCK Holdings","PMCK",100,MATCH,"PMCK","PMCK"
PMETAL,8869,"Press Metal Aluminium Holdings Berhad","PMETAL",24,MISMATCH,"PRESS METAL ALUMINIUM BHD","PMETAL"
PMW,0379,"PM Resources Berhad","PMW",13,MISMATCH,"PM RESOURCES BHD","PMW"
PNE,0322,"PNE PCB Berhad","KHB",9,MISMATCH,"PNE PCB BHD","KHB"
POHKONG,5080,"Poh Kong Holdings","POHKONG",88,MATCH,"POH KONG","POHKONG"
POHUAT,7088,"Poh Huat Resources","POHUAT",33,MISMATCH,"POH HUAT RESOURCES","POHUAT"
POLYMER,0381,"Polymer Link Holdings Berhad","POLYMER",44,MISMATCH,"POLYMER LINK BHD","POLYMER"
POS,4634,"Pos Malaysia Berhad","POS",19,MISMATCH,"POS MALAYSIA BHD","POS"
POWER,0355,"Power Holdings Berhad","FIBRO",11,MISMATCH,"POWER BHD","FIBRO"
